Rank,Neighborhood,Borough,Prectine
35,Wakefield,Bronx,47
28,Co-op City,Bronx,45
35,Eastchester,Bronx,47
13,Fieldston,Bronx,50
13,Riverdale,Bronx,50
13,Kingsbridge,Bronx,50
13,Marble Hill,Manhattan,50
35,Woodlawn,Bronx,47
49,Norwood,Bronx,52
35,Williamsbridge,Bronx,47
43,Baychester,Bronx,49
43,Pelham Parkway,Bronx,49
28,City Island,Bronx,45
49,Bedford Park,Bronx,52
,University Heights,Bronx,
27,Morris Heights,Bronx,46
27,Fordham,Bronx,46
56,East Tremont,Bronx,48
,West Farms,Bronx,
39,High  Bridge,Bronx,44
45,Melrose,Bronx,42
59,Mott Haven,Bronx,40
,Port Morris,Bronx,
,Longwood,Bronx,
67,Hunts Point,Bronx,41
45,Morrisania,Bronx,42
36,Soundview,Bronx,43
,Clason Point,Bronx,
28,Throgs Neck,Bronx,45
,Country Club,Bronx,
36,Parkchester,Bronx,43
43,Westchester Square,Bronx,49
,Van Nest,Bronx,
,Morris Park,Bronx,43
56,Belmont,Bronx,48
13,Spuyten Duyvil,Bronx,50
,North Riverdale,Bronx,
28,Pelham Bay,Bronx,45
,Schuylerville,Bronx,
,Edgewater Park,Bronx,
36,Castle Hill,Bronx,43
,Olinville,Bronx,
,Pelham Gardens,Bronx,
,Concourse,Bronx,
,Unionport,Bronx,
,Edenwald,Bronx,
7,Bay Ridge,Brooklyn,68
4,Bensonhurst,Brooklyn,62
16,Sunset Park,Brooklyn,72
50,Greenpoint,Brooklyn,94
,Gravesend,Brooklyn,
34,Brighton Beach,Brooklyn,60
5,Sheepshead Bay,Brooklyn,61
,Manhattan Terrace,Brooklyn,
,Flatbush,Brooklyn,
42,Crown Heights,Brooklyn,77
40,East Flatbush,Brooklyn,67
3,Kensington,Brooklyn,66
16,Windsor Terrace,Brooklyn,72
42,Prospect Heights,Brooklyn,77
66,Brownsville,Brooklyn,73
47,Williamsburg,Brooklyn,90
52,Bushwick,Brooklyn,83
62,Bedford Stuyvesant,Brooklyn,79
60,Brooklyn Heights,Brooklyn,84
37,Cobble Hill,Brooklyn,76
37,Carroll Gardens,Brooklyn,76
37,Red Hook,Brooklyn,76
41,Gowanus,Brooklyn,78
64,Fort Greene,Brooklyn,88
41,Park Slope,Brooklyn,78
53,Cypress Hills,Brooklyn,75
53,East New York,Brooklyn,75
,Starrett City,Brooklyn,
29,Canarsie,Brooklyn,69
31,Flatlands,Brooklyn,63
,Mill Island,Brooklyn,
,Manhattan Beach,Brooklyn,
34,Coney Island,Brooklyn,60
4,Bath Beach,Brooklyn,62
3,Borough Park,Brooklyn,66
,Dyker Heights,Brooklyn,
,Gerritsen Beach,Brooklyn,
,Marine Park,Brooklyn,
64,Clinton Hill,Brooklyn,88
,Sea Gate,Brooklyn,
63,Downtown,Brooklyn,1
60,Boerum Hill,Brooklyn,84
46,Prospect Lefferts Gardens,Brooklyn,71
,Ocean Hill,Brooklyn,
,City Line,Brooklyn,
,Bergen Beach,Brooklyn,
30,Midwood,Brooklyn,70
30,Prospect Park South,Brooklyn,70
31,Georgetown,Brooklyn,63
47,East Williamsburg,Brooklyn,90
,North Side,Brooklyn,
,South Side,Brooklyn,
,Ocean Parkway,Brooklyn,
,Fort Hamilton,Brooklyn,
48,Chinatown,Manhattan,5
24,Washington Heights,Manhattan,33
23,Inwood,Manhattan,34
33,Hamilton Heights,Manhattan,30
38,Manhattanville,Manhattan,26
54,Central Harlem,Manhattan,28
44,East Harlem,Manhattan,23
14,Upper East Side,Manhattan,19
,Yorkville,Manhattan,
,Lenox Hill,Manhattan,
,Roosevelt Island,Manhattan,
18,Upper West Side,Manhattan,20
,Lincoln Square,Manhattan,
,Clinton,Manhattan,
69,Midtown,Manhattan,1
57,Murray Hill,Manhattan,13
61,Chelsea,Manhattan,10
68,Greenwich Village,Manhattan,6
58,East Village,Manhattan,9
48,Lower East Side,Manhattan,5
63,Tribeca,Manhattan,1
,Little Italy,Manhattan,
63,Soho,Manhattan,1
,West Village,Manhattan,
,Manhattan Valley,Manhattan,
38,Morningside Heights,Manhattan,26
65,Gramercy,Manhattan,13
63,Battery Park City,Manhattan,1
63,Financial District,Manhattan,1
19,Astoria,Queens,114
25,Woodside,Queens,108
20,Jackson Heights,Queens,115
15,Elmhurst,Queens,110
26,Howard Beach,Queens,106
15,Corona,Queens,110
6,Forest Hills,Queens,112
22,Kew Gardens,Queens,102
22,Richmond Hill,Queens,102
9,Flushing,Queens,109
19,Long Island City,Queens,114
25,Sunnyside,Queens,108
20,East Elmhurst,Queens,115
21,Maspeth,Queens,104
21,Ridgewood,Queens,104
21,Glendale,Queens,104
6,Rego Park,Queens,112
22,Woodhaven,Queens,102
26,Ozone Park,Queens,106
26,South Ozone Park,Queens,106
,College Point,Queens,
9,Whitestone,Queens,109
8,Bayside,Queens,111
,Auburndale,Queens,
8,Little Neck,Queens,111
8,Douglaston,Queens,111
,Glen Oaks,Queens,
17,Bellerose,Queens,105
11,Kew Gardens Hills,Queens,107
11,Fresh Meadows,Queens,107
11,Briarwood,Queens,107
51,Jamaica Center,Queens,103
,Oakland Gardens,Queens,
17,Queens Village,Queens,105
,Hollis,Queens,
55,South Jamaica,Queens,113
55,St. Albans,Queens,113
,Rochdale,Queens,
17,Springfield Gardens,Queens,105
,Cambria Heights,Queens,
17,Rosedale,Queens,105
,Far Rockaway,Queens,
,Broad Channel,Queens,
10,Breezy Point,Queens,100
,Steinway,Queens,
,Beechhurst,Queens,
,Bay Terrace,Queens,
,Edgemere,Queens,
,Arverne,Queens,
10,Rockaway Beach,Queens,100
,Neponsit,Queens,
,Murray Hill,Queens,
,Floral Park,Queens,
51,Holliswood,Queens,103
11,Jamaica Estates,Queens,107
,Queensboro Hill,Queens,
,Hillcrest,Queens,
,Ravenswood,Queens,
,Lindenwood,Queens,
,Laurelton,Queens,
,Lefrak City,Queens,
10,Belle Harbor,Queens,100
10,Rockaway Park,Queens,100
,Somerville,Queens,
,Brookville,Queens,
,Bellaire,Queens,
,North Corona,Queens,
,Forest Hills Gardens,Queens,
12,St. George,Staten Island,120
12,New Brighton,Staten Island,120
12,Stapleton,Staten Island,120
12,Rosebank,Staten Island,120
2,West Brighton,Staten Island,122
12,Grymes Hill,Staten Island,120
2,Todt Hill,Staten Island,122
,South Beach,Staten Island,
12,Port Richmond,Staten Island,120
12,Mariner's Harbor,Staten Island,120
12,Port Ivory,Staten Island,120
12,Castleton Corners,Staten Island,120
2,New Springville,Staten Island,122
2,Travis,Staten Island,122
,New Dorp,Staten Island,
2,Oakwood,Staten Island,122
,Great Kills,Staten Island,
1,Eltingville,Staten Island,123
1,Annadale,Staten Island,123
1,Woodrow,Staten Island,123
,Tottenville,Staten Island,
12,Tompkinsville,Staten Island,120
12,Silver Lake,Staten Island,120
,Sunnyside,Staten Island,
30,Ditmas Park,Brooklyn,70
,Wingate,Brooklyn,
,Rugby,Brooklyn,
,Park Hill,Staten Island,
12,Westerleigh,Staten Island,120
12,Graniteville,Staten Island,120
12,Arlington,Staten Island,120
2,Arrochar,Staten Island,122
2,Grasmere,Staten Island,122
2,Old Town,Staten Island,122
2,Dongan Hills,Staten Island,122
2,Midland Beach,Staten Island,122
2,Grant City,Staten Island,122
,New Dorp Beach,Staten Island,
1,Bay Terrace,Staten Island,123
1,Huguenot,Staten Island,123
1,Pleasant Plains,Staten Island,123
,Butler Manor,Staten Island,
1,Charleston,Staten Island,123
1,Rossville,Staten Island,123
1,Arden Heights,Staten Island,123
1,Greenridge,Staten Island,123
,Heartland Village,Staten Island,
2,Chelsea,Staten Island,122
2,Bloomfield,Staten Island,122
2,Bulls Head,Staten Island,122
,Carnegie Hill,Manhattan,
,Noho,Manhattan,
,Civic Center,Manhattan,
63,Midtown South,Manhattan,1
,Richmond Town,Staten Island,
12,Shore Acres,Staten Island,120
12,Clifton,Staten Island,120
12,Concord,Staten Island,120
2,Emerson Hill,Staten Island,122
12,Randall Manor,Staten Island,120
,Howland Hook,Staten Island,
12,Elm Park,Staten Island,120
,Remsen Village,Brooklyn,
,New Lots,Brooklyn,
,Paerdegat Basin,Brooklyn,
31,Mill Basin,Brooklyn,63
51,Jamaica Hills,Queens,103
,Utopia,Queens,
,Pomonok,Queens,
,Astoria Heights,Queens,
,Claremont Village,Bronx,
39,Concourse Village,Bronx,44
39,Mount Eden,Bronx,44
27,Mount Hope,Bronx,46
,Sutton Place,Manhattan,
,Hunters Point,Queens,
32,Turtle Bay,Manhattan,17
,Tudor City,Manhattan,
,Stuyvesant Town,Manhattan,
65,Flatiron,Manhattan,13
25,Sunnyside Gardens,Queens,108
,Blissville,Queens,
,Fulton Ferry,Brooklyn,
,Vinegar Hill,Brooklyn,
,Weeksville,Brooklyn,
,Broadway Junction,Brooklyn,
60,Dumbo,Brooklyn,84
,Manor Heights,Staten Island,
2,Willowbrook,Staten Island,122
,Sandy Ground,Staten Island,
2,Egbertville,Staten Island,122
,Roxbury,Queens,
,Homecrest,Brooklyn,
21,Middle Village,Queens,104
1,Prince's Bay,Staten Island,123
,Lighthouse Hill,Staten Island,
1,Richmond Valley,Staten Island,123
,Malba,Queens,
,Highland Park,Brooklyn,
,Madison,Brooklyn,
,Bronxdale,Bronx,
,Allerton,Bronx,
,Kingsbridge Heights,Bronx,
,Erasmus,Brooklyn,
,Hudson Yards,Manhattan,
,Hammels,Queens,
,Bayswater,Queens,
,Queensbridge,Queens,
,Fox Hills,Staten Island,
